Name,Platform,DOIs,"Pub Dates",Citations,Code,Description,License,Categories
Capybara,R,"10.1016/j.stem.2022.03.001, 10.1101/2020.02.17.947390","2022-04, NA",24,https://github.com/morris-lab/Capybara,"Capybara is a tool to measure cell identity and fate transitions",'-,"Classification, Ordering"
CARDAMOM,Python,"10.1101/2022.06.19.496754, 10.1371/journal.pcbi.1010962","NA, 2023-03-27",5,https://gitbio.ens-lyon.fr/eventr01/cardamom,"CARDAMOM is an executable Gene Regulatory Network (GRN) inference method, adapted for timestamped scRNA-seq dataset",'-,"Gene Networks"
CarDEC,Python,"10.1101/2020.09.23.310003, 10.1101/gr.271874.120","NA, 2021-05-25",32,https://github.com/jlakkis/CarDEC,"CarDEC (Count adapted regularized Deep Embedded Clustering) is a joint deep learning computational tool that is useful for analyses of single-cell RNA-seq data",MIT,"Clustering, Imputation, Integration"
cardelino,R,"10.1038/s41592-020-0766-3, 10.1101/413047","2020-03-16, NA",55,https://github.com/single-cell-genetics/cardelino,"Methods to infer clonal structure for a population of cells using single-cell RNA-seq data",GPL-3.0-or-later,"Classification, Simulation, Variants, Visualisation"
CaSee,Python,"10.1038/s41388-022-02478-5, 10.1101/2022.02.10.480003","2022-10-03, NA",2,https://github.com/yuansh3354/CaSee,"CaSee, a tumor cell discrimination model based on deep learning framework",'-,Classification
CASi,R,10.1101/2023.08.16.553543,NA,0,https://github.com/yizhuo-wang/CASi,"CASi is a comprehensive R package for analyzing multi-timepoint scRNA-seq data",GPL-3.0,"Classification, Expression Patterns"
CaSpER,R,10.1038/s41467-019-13779-x,2020-01-03,81,https://github.com/akdess/CaSpER,"Identify large-scale CNV events from single cell or bulk RNA-Seq data",'-,"Variants, Visualisation"
CaSTLe,R,10.1371/journal.pone.0205499,2018-10-10,70,https://github.com/yuvallb/CaSTLe,"Classification of Single cells by Transfer Learning",'-,Classification
CausalDAG,Python,"10.1093/bioinformatics/btab167, 10.1101/2020.05.13.093765","2021-03-11, NA",8,https://github.com/uhlerlab/causaldag,"Includes the DCI algorithm for inferring changes between two causal graphs given gene expression data from the two conditions",BSD-3-Clause,"Gene Networks"
cb_sniffer,Python,"10.1038/s41467-019-11591-1, 10.1101/434746","2019-08-14, NA",130,https://github.com/sridnona/cb_sniffer,"Mutation barcode caller, calls mutant and ref barcodes from 10x single cell data",GPL-3.0,Variants
ccdf,R,10.1101/2021.05.21.445165,NA,0,https://github.com/Mgauth/ccdf,"ccdf is a package for performing single-cell RNA-seq differential expression analysis and more generally complex hypothesis testing",GPL-3.0,"Differential Expression, Visualisation"
ccfindR,R,10.26508/lsa.201900443,2019-07-02,7,https://github.com/hjunwoo/ccfindR,"single-cell RNA-seq data analysis using Bayesian non-negative matrix factorization",GPL-2.0-or-later,"Clustering, Dimensionality Reduction, Gene Filtering, Normalisation, Quality Control, Simulation, Visualisation"
ccImpute,R/C++,10.1186/s12859-022-04814-8,2022-07-22,4,https://github.com/khazum/ccImpute,"ccImpute: an accurate and scalable consensus clustering based approach to impute dropout events in the single-cell RNA-seq data",BSD-3-Clause,Imputation
ccNet,Python,10.1093/bioinformatics/btac114,2022-02-21,1,https://github.com/Just-Jia/ccNet,"Ccnet, cell-cell network, is a single-cell RNA sequencing data analysis package based on non-uniform epsilon-neighborhood network (NEN)",GPL-3.0,"Dimensionality Reduction, Expression Patterns, Ordering, Visualisation"
CCNMF,R/C++,10.1101/2020.02.04.934455,NA,3,https://github.com/labxscut/CCNMF,"Coupled-Clone Nonnegative Matrix Factorization (CCNMF) is a method for joint inference of clonal structure using paired Single-cell DNA-Seq and RNA-Seq data",MIT,"Clustering, Differential Expression, Dimensionality Reduction, Integration, Visualisation"
CCPE,MATLAB,"10.1093/nar/gkab1236, 10.1101/2021.06.13.448263","2021-12-21, NA",7,https://github.com/LiuJJ0327/CCPE,"A novel cell cycle pseudotime estimation method to characterize cell cycle timing and determine cell cycle phases from single-cell RNA-seq data",'-,"Cell Cycle"
ccRemover,R,"10.1038/srep33892, arxiv/1605.04492","2016-09-27, NA",81,https://github.com/cran/ccRemover,"Implements a method for identifying and removing the cell-cycle effect from scRNA-Seq data.",GPL-3.0,"Cell Cycle"
CCSF,Python,10.1016/j.patter.2023.100840,2023-09,0,https://github.com/xinglab-ai/ccsf,"CCSF is a cell-cell similarity-driven framework of genomic data analysis for high-fidelity dimensionality reduction, clustering, visualization, and spatial and temporal cellular mappings",GPL-3.0,"Dimensionality Reduction"
CCSN,MATLAB,"10.1016/j.gpb.2020.05.005, 10.1101/2020.01.25.919829","2021-03, NA",19,,"CCSN can be used for cell clustering and dimension reduction on a network basis of single cells",'-,"Gene Networks"
CDI,R,"10.1101/2022.01.03.474840, 10.1186/s13059-022-02825-5","NA, 2022-12-27",6,https://github.com/jichunxie/CDI,"A robust and accurate unsupervised measure for evaluating scRNA-seq data clustering",GPL-3.0,"Clustering, Visualisation"
CDR-g,Python,10.1101/2023.03.12.532317,NA,0,https://github.com/wlchin/pycdr,"Spectral detection of condition-specific biological pathways in single-cell gene expression data",MIT,"Dimensionality Reduction, Gene Sets, Quality Control"
celaref,R,,,'-,https://github.com/MonashBioinformaticsPlatform/celaref,"The celaref (cell labelling by reference) package aims to streamline the cell-type identification step, by suggesting cluster labels on the basis of similarity to an already-characterised reference dataset.",GPL-3.0,"Classification, Visualisation"
celda,R/C++,,,'-,https://github.com/campbio/celda,"""celda"" stands for ""CEllular Latent Dirichlet Allocation"", which is a suite of Bayesian hierarchical models and supporting functions to perform gene and cell clustering for count data generated by single cell RNA-seq platforms.",MIT,"Clustering, Differential Expression, Dimensionality Reduction, Gene Networks, Normalisation, Quality Control, Simulation, Visualisation"
CeLEry,Python,10.1038/s41467-023-39895-3,2023-07-08,0,https://github.com/QihuangZhang/CeLEry,"CeLEry, a supervised deep learning algorithm to recover the spatial origins of cells in scRNA-seq by leveraging gene expression and spatial location information learned from spatial transcriptomics",MIT,Integration
Cell-BLAST,Python,"10.1038/s41467-020-17281-7, 10.1101/587360","2020-07-10, NA",72,https://github.com/gao-lab/Cell_BLAST,"Cell BLAST is a cell querying tool for single-cell transcriptomics data.",MIT,"Classification, Visualisation"
cell2cell,Python,"10.1038/s41467-022-31369-2, 10.1101/2020.11.22.392217, 10.1101/2021.09.20.461129, 10.1371/journal.pcbi.1010715","2022-06-27, NA, NA, 2022-11-17",49,https://github.com/earmingol/cell2cell,"Inferring cell-cell interactions from transcriptomes with cell2cell",BSD-3-Clause,"Gene Networks, Visualisation"
cell2fate,Python,10.1101/2023.08.03.551650,NA,0,https://github.com/BayraktarLab/cell2fate,"A formulation of RNA velocity based on a linearization of the velocity ODE",Apache-2.0,Ordering
cell2location,Python,"10.1038/s41587-021-01139-4, 10.1101/2020.11.15.378125","2022-01-13, NA",280,https://github.com/BayraktarLab/cell2location,"Cell2location maps the spatial distribution of cell types by integrating single-cell RNA-seq (scRNA-seq) and multi-cell spatial transcriptomic data from a given tissue",Apache-2.0,"Classification, Integration"
cellAlign,R/C++,10.1038/nmeth.4628,2018-03-12,69,https://github.com/shenorrLab/cellAlign,"CellAlign is a tool for quantitative comparison of expression dynamics within or between single-cell trajectories.",Custom,"Expression Patterns, Normalisation, Ordering, Visualisation"
CellANOVA,Python,10.1101/2023.05.05.539614,NA,0,https://github.com/Janezjz/cellanova,"CellANOVA: Cell State Space Analysis of Variance",GPL-3.0,Integration
Cellar,Python/R,"10.1038/s41467-022-29744-0, 10.1101/2021.03.19.436162","2022-04-14, NA",9,https://github.com/euxhenh/cellar,"Cell Type Annotation Robot",MIT,"Classification, Clustering, Differential Expression, Dimensionality Reduction, Interactive, Quality Control"
CellaRepertorium,R/C++,,,'-,https://github.com/amcdavid/CellaRepertorium,"Methods to cluster and analyze high-throughput single cell immune cell repertoires, especially from the 10X Genomics VDJ solution",GPL-3.0,"Clustering, Immune, Quality Control, Variants, Visualisation"
cellassign,R,"10.1038/s41592-019-0529-1, 10.1101/521914","2019-09-09, NA",217,https://github.com/irrationone/cellassign,"cellassign automatically assigns single-cell RNA-seq data to known cell types across thousands of cells accounting for patient and batch specific effects.",Apache-2.0,"Classification, Simulation"
CellBench,R,"10.1038/s41592-019-0425-8, 10.1093/bioinformatics/btz889, 10.1101/433102","2019-05-27, 2019-11-28, NA",252,https://github.com/shians/cellbench,"R package for benchmarking single cell analysis methods, primarily inspired by the modelling structure used in DSC",GPL-3.0,Visualisation
CellBender,Python,10.1101/791699,NA,130,https://github.com/broadinstitute/CellBender,"CellBender is a software package for eliminating technical artifacts from high-throughput single-cell RNA sequencing (scRNA-seq) data",BSD-3-Clause,"Quality Control, Visualisation"
CellBIC,MATLAB,10.1093/nar/gky698,2018-08-08,15,https://github.com/neocaleb/CellBIC,"CellBIC is bimodality-based top-down clustering of single-cell RNA sequencing data.",'-,Clustering
cellBrowser,Python,,,'-,https://github.com/maximilianh/cellBrowser,"Python pipeline and Javascript scatter plot library for single-cell datasets",GPL-3.0,"Interactive, Visualisation"
CellCall,R,10.1093/nar/gkab638,2021-07-31,73,https://github.com/ShellyCoder/cellcall,"Integrating paired ligand-receptor and transcription factor activities for cell-cell communication",Artistic-2.0,"Gene Networks, Gene Sets, Visualisation"
CellChat,R/C++,"10.1038/s41467-021-21246-9, 10.1101/2020.07.21.214387","2021-02-17, NA",1473,https://github.com/sqjin/CellChat,"Inference and analysis of cell-cell communication",GPL-3.0,"Gene Networks, Visualisation"
cellDancer,Python,10.1038/s41587-023-01728-5,2023-04-03,9,https://github.com/GuangyuWangLab2021/cellDancer,"cellDancer is a modularized, parallelized, and scalable tool based on a deep learning framework for the RNA velocity analysis of scRNA-seq",BSD-3-Clause,"Ordering, Simulation, Visualisation"
CellDrift,Python,"10.1093/bib/bbac324, 10.1101/2022.04.13.488194","2022-08-23, NA",2,https://github.com/KANG-BIOINFO/CellDrift,"A generalized linear model based functional data analysis approach to investigate temporal gene patterns in response to perturbations",MIT,"Ordering, Perturbations, Visualisation"
cellenium,TypeScript/Python,10.1093/bioinformatics/btad349,2023-06-01,0,https://github.com/Bayer-Group/cellenium,"Cellenium is a FAIR and scalable interactive visual analytics app for scRNA-Seq data",MIT,"Interactive, Visualisation"
CellexalVR,Csharp,"10.1016/j.isci.2021.103251, 10.1101/329102","2021-11, NA",23,https://github.com/sonejilab/cellexalvr,"A feature-rich, fully interactive virtual reality environment for the visualisation and analysis of single-cell experiments",GPL-3.0,"Interactive, Visualisation"
CellFishing,Julia,"10.1101/374462, 10.1186/s13059-019-1639-x","NA, 2019-02-11",23,https://github.com/bicycle1885/CellFishing.jl,"CellFishing.jl (cell finder via hashing) is a tool to find similar cells of query cells based on their transcriptome expression profiles.",MIT,Classification
CellGEP,R,10.1101/2023.02.05.526424,NA,0,https://github.com/MaShisongLab/CellGEP,"CellGEP (Cell labeling via Gene Expression Programs) is an algorithm for transferring cell-type label across single-cell datasets",BSD-3-Clause,Classification
cellgrid,Python,10.1101/2020.07.22.216002,NA,3,https://github.com/Brodinlab/cellgrid,"Cell classification by learning known phenotypes",MIT,Classification
CellID,R/C++,"10.1038/s41587-021-00896-6, 10.1101/2020.07.23.215525","2021-04-29, NA",63,https://github.com/RausellLab/CelliD,"Gene signature extraction and cell identity recognition at individual cell level",GPL-3.0,"Classification, Dimensionality Reduction, Gene Sets, Visualisation"
Cellity,R,10.1186/s13059-016-0888-1,2016-02-17,481,https://github.com/teichlab/cellity,"Classification of low quality cells in scRNA-seq data using R",GPL-2.0-or-later,"Quality Control"
CellLayers,Python,"10.1093/bioadv/vbac051, 10.1101/2020.11.29.400614","2022-01-01, NA",0,https://github.com/apblair/CellLayers,"Cell Layers is an interactive Sankey tool for the quantitative investigation of gene expression, coexpression, biological processes, and cluster integrity across clustering resolutions",MIT,"Gene Sets, Visualisation"
CellMap,Python,,,'-,https://github.com/yusuke-imoto-lab/CellMap,"The CellMap is a RNA landscape inference method based on the graph Hodge decomposition",'-,"Dimensionality Reduction, Interactive, Visualisation"
CellMeSH,Python,"10.1093/bioinformatics/btab834, 10.1101/2020.05.29.124743","2021-12-10, NA",5,https://github.com/shunfumao/cellmesh,"CellMeSH is a framework to identify the cell types of the query cells based on their marker genes",MIT,Classification
CellMixS,R,"10.1101/2020.12.11.420885, 10.26508/lsa.202001004","NA, 2021-03-23",21,https://github.com/almutlue/CellMixS,"CellMixS provides metrics and functions to evaluate batch effects, data integration and batch effect correction in single cell trancriptome data with single cell resolution",GPL-2.0-or-later,"Integration, Visualisation"
CellO,Python,"10.1016/j.isci.2020.101913, 10.1101/634097","2021-01, NA",25,https://github.com/deweylab/CellO,"CellO (Cell Ontology-based classification) is a Python package for performing cell type classification of RNA-seq data.",MIT,Classification
cellograph,Python,10.1101/2023.02.24.528672,NA,0,https://github.com/jashahir/cellograph,"Cellograph is a graph neural network model that uses a two-layer graph convolutional network to analyze single-cell RNA sequencing data",MIT,"Dimensionality Reduction, Perturbations"
CellOracle,python,"10.1016/j.stemcr.2022.11.010, 10.1038/s41586-022-05688-9, 10.1101/2020.02.17.947416","2023-01, 2023-02-08, NA",116,https://github.com/morris-lab/CellOracle,"CellOracle integrates single-cell transcriptome and epigenome profiles to infer gene regulatory networks.",Apache-2.0,"Gene Networks, Gene Sets, Integration, Perturbations, Simulation"
CellOT,Python,10.21203/rs.3.rs-1805107/v1,NA,0,https://github.com/bunnech/cellot,"Learning Single-Cell Perturbation Responses using Neural Optimal Transport",BSD-3-Clause,"Perturbations, Visualisation"
CellPath,Python,"10.1016/j.crmeth.2021.100095, 10.1101/2020.09.30.321125","2021-10, NA",23,https://github.com/PeterZZQ/CellPath,"CellPath is a single cell trajectory inference method that infers cell developmental trajectory using single-cell RNA Sequencing data and RNA-velocity data",GPL-3.0,"Clustering, Differential Expression, Ordering, Visualisation"
CellPhoneDB,Python,"10.1038/s41586-018-0698-6, 10.1038/s41596-020-0292-x, 10.1101/429589, 10.1101/680926","2018-11-14, 2020-02-26, NA, NA",2783,https://github.com/Teichlab/cellphonedb,"CellPhoneDB is a publicly available repository of curated receptors, ligands and interactions.",MIT,"Gene Networks, Visualisation"
